0,0,2.5701,-19.9499,2.5701,-19.9499,7
0.8,6.99382e-08,2.66025,-19.9499,2.66025,-19.9499,7
1.39772,1.22193e-07,2.69774,-19.9499,2.69774,-19.9499,7
1.64408,1.4373e-07,2.72022,-19.9499,2.72022,-19.9499,7
1.74499,1.52552e-07,2.73483,-19.9499,2.73483,-19.9499,7
1.78632,1.56165e-07,2.74231,-19.9499,2.74231,-19.9499,7
1.80325,1.57646e-07,2.74794,-19.9499,2.74794,-19.9499,7
1.81495,1.58668e-07,2.752,-19.9499,2.752,-19.9499,7
1.81497,1.5867e-07,2.75564,-19.9499,2.75564,-19.9499,7
1.81498,1.58671e-07,2.75715,-19.9499,2.75715,-19.9499,7
1.81499,1.58671e-07,2.76269,-19.9499,2.76269,-19.9499,7
1.81499,1.58672e-07,2.77031,-19.9499,2.77031,-19.9499,7
1.815,1.58672e-07,2.77624,-19.9499,2.77624,-19.9499,7
1.815,1.58672e-07,2.77855,-19.9499,2.77855,-19.9499,7
1.815,1.58672e-07,2.77902,-19.9499,2.77902,-19.9499,7
1.815,1.58672e-07,2.78006,-19.9499,2.78006,-19.9499,7
1.815,1.58672e-07,2.78044,-19.9499,2.78044,-19.9499,7
1.815,1.58672e-07,2.7809,-19.9499,2.7809,-19.9499,7
1.815,1.58672e-07,2.78172,-19.9499,2.78172,-19.9499,7
1.815,1.58672e-07,2.78082,-19.9499,2.78082,-19.9499,7
1.815,1.58672e-07,2.78083,-19.9499,2.78083,-19.9499,7
1.815,1.58672e-07,2.78086,-19.9499,2.78086,-19.9499,7
1.815,1.58672e-07,2.78146,-19.9499,2.78146,-19.9499,7
1.815,1.58672e-07,2.78103,-19.9499,2.78103,-19.9499,7
1.815,1.58672e-07,2.78077,-19.9499,2.78077,-19.9499,7
1.815,1.58672e-07,2.78097,-19.9499,2.78097,-19.9499,7
1.815,1.58672e-07,2.78095,-19.9499,2.78095,-19.9499,7
1.815,1.58672e-07,2.78084,-19.9499,2.78084,-19.9499,7
1.815,1.58672e-07,2.77993,-19.9499,2.77993,-19.9499,7
1.815,1.58672e-07,2.78232,-19.9499,2.78232,-19.9499,7
1.815,1.58672e-07,2.78176,-19.9499,2.78176,-19.9499,7
1.815,1.58672e-07,2.78184,-19.9499,2.78184,-19.9499,7
